algorithm,execution_time,convergence,best_length,length_avg,std,maze_number
ACO,1.98,65,23.66,24.64,0.67,0
EACO,2.29,96,26.73,28.02,1.78,0
ABC,2.33,452,22,34.97,0.0,0
PSO,0.09,1,27,61.36,19.13,0
ACO,2.49,52,21.66,23.26,0.98,1
EACO,2.58,23,22.49,22.95,1.5,1
ABC,2.93,34,22,34.0,4.24,1
PSO,0.04,2,21,43.94,17.67,1
ACO,3.5,1,32.83,33.25,0.27,2
EACO,3.21,1,32.83,32.85,0.18,2
ABC,5.03,7,33,36.45,1.99,2
PSO,0.05,2,38,62.01,11.26,2
ACO,2.67,7,30.24,31.06,0.33,3
EACO,2.99,1,29.66,30.25,0.11,3
ABC,2.61,145,28,32.91,1.64,3
PSO,0.04,2,35,62.62,17.53,3
ACO,7.93,114,97.66,99.43,1.44,4
EACO,8.43,36,97.9,98.94,3.3,4
ABC,4.93,122,107,124.07,22.29,4
